split,balance,N,classifier,subject,eer,far_at_frr,frr_at_far
session,fixed,50,Threshold,s002,0.4716,0.9103999999999999,0.688
session,fixed,50,Threshold,s003,0.32880000000000004,0.8904,0.976
session,fixed,50,Threshold,s004,0.10399999999999998,0.7152,0.524
session,fixed,50,Threshold,s005,0.043200000000000016,0.4152,0.192
session,fixed,50,Threshold,s007,0.1684,0.8183999999999999,0.8939999999999999
session,fixed,50,Threshold,s008,0.15960000000000002,0.6688000000000001,0.7379999999999999
session,fixed,50,Threshold,s010,0.04400000000000001,0.2992,0.164
session,fixed,50,Threshold,s011,0.252,0.7415999999999998,0.922
session,fixed,50,Threshold,s012,0.08279999999999998,0.4024,0.336
session,fixed,50,Threshold,s013,0.1256,0.6304000000000001,0.42000000000000004
session,fixed,50,Threshold,s015,0.22359999999999997,0.5936,0.946
session,fixed,50,Threshold,s016,0.04480000000000002,0.13920000000000002,0.18
session,fixed,50,Threshold,s017,0.040799999999999996,0.5248,0.2
session,fixed,50,Threshold,s018,0.21680000000000002,0.9952,0.7460000000000001
session,fixed,50,Threshold,s019,0.04400000000000003,0.2552,0.09399999999999997
session,fixed,50,Threshold,s020,0.2412,0.9144,0.768
session,fixed,50,Threshold,s021,0.1252,0.7303999999999999,0.47800000000000004
session,fixed,50,Threshold,s022,0.014000000000000002,0.0824,0.09200000000000001
session,fixed,50,Threshold,s024,0.050000000000000024,0.1696,0.152
session,fixed,50,Threshold,s025,0.07599999999999996,0.9024000000000001,0.14799999999999996
session,fixed,50,Threshold,s026,0.08279999999999997,0.4784,0.16599999999999998
session,fixed,50,Threshold,s027,0.07799999999999996,0.82,0.21600000000000003
session,fixed,50,Threshold,s028,0.055600000000000024,0.39039999999999997,0.19799999999999998
session,fixed,50,Threshold,s029,0.1348,0.7799999999999999,0.506
session,fixed,50,Threshold,s030,0.09919999999999998,0.9888,0.22199999999999998
