N,classifier,subject,selected_params
50,MLP,s048,"{""alpha"": 0.0001, ""h"": 64}"
50,MLP,s049,"{""alpha"": 0.0001, ""h"": 32}"
50,MLP,s050,"{""alpha"": 0.0001, ""h"": 128}"
50,MLP,s051,"{""alpha"": 0.0001, ""h"": 128}"
50,MLP,s052,"{""alpha"": 0.0001, ""h"": 64}"
50,MLP,s053,"{""alpha"": 0.0001, ""h"": 64}"
50,MLP,s054,"{""alpha"": 0.0001, ""h"": 128}"
50,MLP,s055,"{""alpha"": 0.0001, ""h"": 64}"
50,MLP,s056,"{""alpha"": 0.0001, ""h"": 32}"
50,MLP,s057,"{""alpha"": 0.0001, ""h"": 128}"
200,k-NN,s002,"{""k"": 5}"
200,k-NN,s003,"{""k"": 3}"
200,k-NN,s004,"{""k"": 5}"
200,k-NN,s005,"{""k"": 3}"
200,k-NN,s007,"{""k"": 5}"
200,k-NN,s008,"{""k"": 5}"
200,k-NN,s010,"{""k"": 3}"
200,k-NN,s011,"{""k"": 5}"
200,k-NN,s012,"{""k"": 3}"
200,k-NN,s013,"{""k"": 7}"
200,k-NN,s015,"{""k"": 7}"
200,k-NN,s016,"{""k"": 7}"
200,k-NN,s017,"{""k"": 3}"
200,k-NN,s018,"{""k"": 5}"
200,k-NN,s019,"{""k"": 5}"
200,k-NN,s020,"{""k"": 5}"
200,k-NN,s021,"{""k"": 5}"
200,k-NN,s022,"{""k"": 3}"
200,k-NN,s024,"{""k"": 5}"
200,k-NN,s025,"{""k"": 5}"
200,k-NN,s026,"{""k"": 5}"
200,k-NN,s027,"{""k"": 7}"
200,k-NN,s028,"{""k"": 5}"
200,k-NN,s029,"{""k"": 7}"
200,k-NN,s030,"{""k"": 5}"
200,k-NN,s031,"{""k"": 5}"
200,k-NN,s032,"{""k"": 5}"
200,k-NN,s033,"{""k"": 5}"
200,k-NN,s034,"{""k"": 3}"
200,k-NN,s035,"{""k"": 5}"
200,k-NN,s036,"{""k"": 1}"
200,k-NN,s037,"{""k"": 5}"
200,k-NN,s038,"{""k"": 3}"
200,k-NN,s039,"{""k"": 7}"
200,k-NN,s040,"{""k"": 3}"
200,k-NN,s041,"{""k"": 1}"
200,k-NN,s042,"{""k"": 7}"
200,k-NN,s043,"{""k"": 1}"
200,k-NN,s044,"{""k"": 5}"
200,k-NN,s046,"{""k"": 7}"
200,k-NN,s047,"{""k"": 5}"
200,k-NN,s048,"{""k"": 7}"
200,k-NN,s049,"{""k"": 7}"
200,k-NN,s050,"{""k"": 7}"
200,k-NN,s051,"{""k"": 5}"
200,k-NN,s052,"{""k"": 7}"
200,k-NN,s053,"{""k"": 5}"
200,k-NN,s054,"{""k"": 3}"
