seed,subject,classifier,pca_components,eer_pct
2,25,k-NN,10,1.5000000000000062
2,25,LDA,10,0.0
2,25,k-NN,20,1.0000000000000004
2,25,LDA,20,0.0
2,25,k-NN,40,0.0
2,25,LDA,40,0.0
2,25,k-NN,80,0.0
2,25,LDA,80,0.0
2,25,k-NN,150,1.8604651162790697
2,25,LDA,150,0.0
2,26,k-NN,10,0.5102040816326506
2,26,LDA,10,3.589743589743589
2,26,k-NN,20,0.5000000000000002
2,26,LDA,20,4.615384615384616
2,26,k-NN,40,0.5000000000000002
2,26,LDA,40,14.358974358974358
2,26,k-NN,80,0.0
2,26,LDA,80,5.6410256410256405
2,26,k-NN,150,0.0
2,26,LDA,150,3.076923076923077
2,27,k-NN,10,0.0
2,27,LDA,10,0.0
2,27,k-NN,20,0.0
2,27,LDA,20,0.0
2,27,k-NN,40,0.0
2,27,LDA,40,0.0
2,27,k-NN,80,0.0
2,27,LDA,80,0.0
2,27,k-NN,150,0.0
2,27,LDA,150,0.0
2,28,k-NN,10,0.0
2,28,LDA,10,11.794871794871794
2,28,k-NN,20,0.0
2,28,LDA,20,6.666666666666665
2,28,k-NN,40,0.0
2,28,LDA,40,2.0512820512820515
2,28,k-NN,80,0.0
2,28,LDA,80,4.102564102564102
2,28,k-NN,150,1.0152284263959352
2,28,LDA,150,18.461538461538463
2,29,k-NN,10,2.000000000000001
2,29,LDA,10,4.615384615384616
2,29,k-NN,20,0.0
2,29,LDA,20,0.0
2,29,k-NN,40,0.5000000000000002
2,29,LDA,40,0.0
2,29,k-NN,80,1.008403361344536
2,29,LDA,80,0.0
2,29,k-NN,150,1.008403361344536
2,29,LDA,150,0.0
2,30,k-NN,10,0.0
2,30,LDA,10,5.6410256410256405
2,30,k-NN,20,0.0
2,30,LDA,20,1.5384615384615385
2,30,k-NN,40,0.0
2,30,LDA,40,2.0512820512820515
2,30,k-NN,80,0.0
2,30,LDA,80,0.5128205128205132
2,30,k-NN,150,0.0
2,30,LDA,150,0.0
2,31,k-NN,10,0.0
2,31,LDA,10,1.025641025641025
2,31,k-NN,20,0.0
2,31,LDA,20,0.0
2,31,k-NN,40,0.0
2,31,LDA,40,0.0
2,31,k-NN,80,0.0
2,31,LDA,80,0.0
2,31,k-NN,150,0.0
2,31,LDA,150,0.0
2,32,k-NN,10,0.0
2,32,LDA,10,0.5128205128205132
2,32,k-NN,20,16.666666666666664
2,32,LDA,20,0.5128205128205132
2,32,k-NN,40,0.0
