subject,classifier,pca_components,eer_pct,split_sd_pct,n_splits
9,k-NN,20,2.222085512617924,5.160857517708769,10
9,k-NN,40,2.123139259480148,5.229456308451175,10
9,k-NN,80,2.060571048636075,5.226924724758351,10
9,k-NN,150,2.288752179284591,5.172726970972061,10
10,LDA,10,2.769230769230769,3.738864441570548,10
10,LDA,20,0.05128205128205132,0.16216808513684008,10
10,LDA,40,0.05128205128205132,0.16216808513684008,10
10,LDA,80,0.0,0.0,10
10,LDA,150,0.0,0.0,10
10,k-NN,10,8.333333333333332,8.78410461157883,10
10,k-NN,20,8.333333333333332,8.78410461157883,10
10,k-NN,40,8.333333333333332,8.78410461157883,10
10,k-NN,80,8.333333333333332,8.78410461157883,10
10,k-NN,150,8.333333333333332,8.78410461157883,10
11,LDA,10,0.5128205128205129,0.9669836323918598,10
11,LDA,20,0.0,0.0,10
11,LDA,40,0.0,0.0,10
11,LDA,80,0.0,0.0,10
11,LDA,150,0.0,0.0,10
11,k-NN,10,0.0,0.0,10
11,k-NN,20,0.0,0.0,10
11,k-NN,40,0.050000000000000024,0.15811388300841903,10
11,k-NN,80,0.0,0.0,10
11,k-NN,150,0.0,0.0,10
12,LDA,10,0.4102564102564103,0.5296387481993048,10
12,LDA,20,0.0,0.0,10
12,LDA,40,0.0,0.0,10
12,LDA,80,0.0,0.0,10
12,LDA,150,0.0,0.0,10
12,k-NN,10,0.0508474576271188,0.16079377933059605,10
12,k-NN,20,0.050000000000000024,0.15811388300841903,10
12,k-NN,40,0.05128205128205132,0.16216808513684008,10
12,k-NN,80,0.050000000000000024,0.15811388300841903,10
12,k-NN,150,0.0,0.0,10
13,LDA,10,3.282051282051282,2.5492447018539828,10
13,LDA,20,1.1282051282051282,0.8980461905342699,10
13,LDA,40,0.10256410256410264,0.2162241135157868,10
13,LDA,80,0.4615384615384614,0.8529897401623691,10
13,LDA,150,0.8205128205128206,1.213554827302485,10
13,k-NN,10,0.050000000000000024,0.15811388300841903,10
13,k-NN,20,0.097560975609756,0.30851489367496354,10
13,k-NN,40,0.050000000000000024,0.15811388300841903,10
13,k-NN,80,0.050000000000000024,0.15811388300841903,10
13,k-NN,150,0.097560975609756,0.30851489367496354,10
14,LDA,10,0.20512820512820515,0.64867234054736,10
14,LDA,20,0.05128205128205132,0.16216808513684008,10
14,LDA,40,0.0,0.0,10
14,LDA,80,0.05128205128205132,0.16216808513684008,10
14,LDA,150,0.10256410256410264,0.2162241135157868,10
14,k-NN,10,0.14285714285714274,0.4517539514526253,10
14,k-NN,20,0.0,0.0,10
14,k-NN,40,0.0,0.0,10
14,k-NN,80,0.0,0.0,10
14,k-NN,150,0.0,0.0,10
15,LDA,10,28.256410256410255,8.431527544382595,10
15,LDA,20,5.6410256410256405,4.3109470813396555,10
15,LDA,40,0.8205128205128205,1.4544989665765913,10
15,LDA,80,0.0,0.0,10
15,LDA,150,0.0,0.0,10
15,k-NN,10,1.2626764395458312,0.5920826373307609,10
15,k-NN,20,1.260561356224368,0.5385255410077238,10
15,k-NN,40,0.8072073157815947,0.5365138277884446,10
15,k-NN,80,0.8570563393195048,0.5229253501757132,10
15,k-NN,150,1.0927147600058642,0.7531908167888829,10
